,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation,averagerating,numvotes,release_date_CH,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,genre_ids
986,raymond did it,tt1716760,Raymond Did It,Raymond Did It,2011,83.0,Horror,32,2011-02-11,Raymond Did It,40000,3632,3632,0,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.3,211.0,,,,,,,
987,people like us,tt1716777,People Like Us,People Like Us,2012,114.0,"Comedy,Drama",60,2012-06-29,People Like Us,16000000,12431792,12617472,185680,People Like Us,BV,12400000.0,,2012.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.1,39618.0,,,,,,,
988,shouldve been romeo,tt1717210,Should've Been Romeo,Should've Been Romeo,2012,,"Comedy,Drama",96,2012-12-31,Should've Been Romeo,5000000,0,0,0,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.5,44.0,,,,,,,
989,another happy day,tt1719071,Another Happy Day,Another Happy Day,2011,119.0,"Comedy,Drama",52,2011-11-18,Another Happy Day,4000000,9120,978527,969407,Another Happy Day,P4,8500.0,347000.0,2011.0,355500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0,3793.0,,,,,,,
990,vamps,tt1719676,Vamps,Vamps,2010,89.0,"Comedy,Horror,Thriller",79,2012-11-02,Vamps,16000000,3361,94812,91451,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,4.5,13.0,,,,,,,
991,october baby,tt1720182,October Baby,October Baby,2011,107.0,Drama,35,2012-03-23,October Baby,1000000,5355847,5391992,36145,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.8,6903.0,,,,,,,
992,showtime,tt1720297,Showtime,Yong xin tiao,2010,100.0,"Drama,Fantasy,Musical",19,2002-03-15,Showtime,85000000,37948765,78948765,41000000,,,,,,,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,4.2,20.0,,,,,,,
993,were the millers,tt1723121,We're the Millers,We're the Millers,2013,110.0,"Comedy,Crime",90,2013-08-07,We're the Millers,37000000,150394119,267816276,117422157,We're the Millers,WB (NL),150400000.0,119600000.0,2013.0,270000000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.0,371759.0,,,,,,,
994,shame,tt1723811,Shame,Shame,2011,101.0,Drama,97,2011-12-02,Shame,6500000,4002293,20412841,16410548,Shame,FoxS,3900000.0,13800000.0,2011.0,17700000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,171353.0,,,,,,,
995,l!fe happens,tt1726589,L!fe Happens,L!fe Happens,2011,100.0,Comedy,34,2012-04-13,L!fe Happens,930000,30905,30905,0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.6,7229.0,,,,,,,
