,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,release_date,runtime_minutes,studio,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
1856,Mr. Turner,14.0,3.0,25.0,22.0,12/19/2014,150.0,SPC,"Biography,Drama,History",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1880,Hotel Transylvania 2,80.0,169.0,469.0,300.0,9/25/2015,89.0,Sony,"Animation,Comedy,Family",False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1884,The Gunman,40.0,10.0,18.0,8.0,3/20/2015,115.0,ORF,"Action,Crime,Drama",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1893,Blockers,21.0,60.0,94.0,34.0,4/6/2018,102.0,Uni.,Comedy,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1901,The Light Between Oceans,20.0,12.0,22.0,10.0,9/2/2016,133.0,BV,"Drama,Romance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1910,The Second Best Exotic Marigold Hotel,10.0,33.0,90.0,57.0,3/6/2015,122.0,FoxS,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1919,Alice Through the Looking Glass,170.0,77.0,276.0,199.0,5/27/2016,113.0,BV,"Adventure,Family,Fantasy",False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1927,Me and Earl and the Dying Girl,8.0,6.0,9.0,3.0,6/12/2015,105.0,FoxS,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1928,Shut In,10.0,6.0,11.0,5.0,11/11/2016,91.0,EC,"Drama,Mystery,Thriller",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1929,Hell or High Water,12.0,27.0,37.0,10.0,8/12/2016,102.0,LGF,"Action,Crime,Drama",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1931,The Fault in Our Stars,12.0,124.0,307.0,183.0,6/6/2014,126.0,Fox,"Drama,Romance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1933,Resident Evil: The Final Chapter,40.0,26.0,314.0,288.0,1/27/2017,107.0,SGem,"Action,Horror,Sci-Fi",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1956,Ted 2,68.0,81.0,217.0,136.0,6/26/2015,115.0,Uni.,Comedy,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1962,Midnight Special,18.0,3.0,7.0,4.0,3/18/2016,112.0,WB,"Action,Drama,Mystery",True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1973,Star Trek Beyond,185.0,158.0,335.0,177.0,7/22/2016,122.0,Par.,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1978,Me Before You,20.0,56.0,208.0,152.0,6/3/2016,106.0,WB (NL),"Drama,Romance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1981,Hitman: Agent 47,35.0,22.0,82.0,60.0,8/21/2015,96.0,Fox,"Action,Adventure,Crime",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1985,Night at the Museum: Secret of the Tomb,127.0,113.0,353.0,240.0,12/19/2014,98.0,Fox,"Adventure,Comedy,Family",False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
